Invoice ID,Unit price
750-67-8428,74.69
226-31-3081,15.28
631-41-3108,46.33
123-19-1176,58.22
373-73-7910,86.31
699-14-3026,85.39
355-53-5943,68.84
315-22-5665,73.56
665-32-9167,36.26
692-92-5582,54.84
351-62-0822,14.48
529-56-3974,25.51
365-64-0515,46.95
252-56-2699,43.19
829-34-3910,71.38
299-46-1805,93.72
656-95-9349,68.93
765-26-6951,72.61
329-62-1586,54.67
319-50-3348,40.3
300-71-4605,86.04
371-85-5789,87.98
273-16-6619,33.2
636-48-8204,34.56
549-59-1358,88.63
227-03-5010,52.59
649-29-6775,33.52
189-17-4241,87.67
145-94-9061,88.36
848-62-7243,24.89
871-79-8483,94.13
149-71-6266,78.07
640-49-2076,83.78
595-11-5460,96.58
183-56-6882,99.42
232-16-2483,68.12
129-29-8530,62.62
272-65-1806,60.88
333-73-7901,54.92
777-82-7220,30.12
280-35-5823,86.72
554-53-8700,56.11
354-25-5821,69.12
228-96-1411,98.7
617-15-4209,15.37
132-32-9879,93.96
370-41-7321,56.69
727-46-3608,20.01
669-54-1719,18.93
574-22-5561,82.63
326-78-5178,91.4
162-48-8011,44.59
616-24-2851,17.87
778-71-5554,15.43
242-55-6721,16.16
399-46-5918,85.98
106-35-6779,44.34
635-40-6220,89.6
817-48-8732,72.35
120-06-4233,30.61
285-68-5083,24.74
803-83-5989,55.73
347-34-2234,55.07
199-75-8169,15.81
853-23-2453,75.74
877-22-3308,15.87
838-78-4295,33.47
109-28-2512,97.61
232-11-3025,78.77
382-03-4532,18.33
393-65-2792,89.48
796-12-2025,62.12
510-95-6347,48.52
841-35-6630,75.91
287-21-9091,74.67
732-94-0499,41.65
263-10-3913,49.04
381-20-0914,20.01
829-49-1914,78.31
756-01-7507,20.38
870-72-4431,99.19
847-38-7188,96.68
480-63-2856,19.25
787-56-0757,80.36
360-39-5055,48.91
730-50-9884,83.06
362-58-8315,76.52
633-44-8566,49.38
504-35-8843,42.47
318-68-5053,76.99
565-80-5980,47.38
225-32-0908,44.86
873-51-0671,21.98
152-08-9985,64.36
512-91-0811,89.75
594-34-4444,97.16
766-85-7061,87.87
871-39-9221,12.45
865-92-6136,52.75
733-01-9107,82.7
163-56-7055,48.71
189-98-2939,78.55
551-21-3069,23.07
212-62-1842,58.26
716-39-1409,30.35
704-48-3927,88.67
628-34-3388,27.38
630-74-5166,62.13
588-01-7461,33.98
861-77-0145,81.97
479-26-8945,16.49
210-67-5886,98.21
227-78-1148,72.84
645-44-1170,58.07
237-01-6122,80.79
225-98-1496,27.02
291-32-1427,21.94
659-65-8956,51.36
642-32-2990,10.96
378-24-2715,53.44
638-60-7125,99.56
659-36-1684,57.12
219-22-9386,99.96
336-78-2147,63.91
268-27-6179,56.47
668-90-8900,93.69
870-54-3162,32.25
189-08-9157,31.73
663-86-9076,68.54
549-84-7482,90.28
191-10-6171,39.62
802-70-5316,92.13
695-51-0018,34.84
590-83-4591,87.45
483-71-1164,81.3
597-78-7908,90.22
700-81-1757,26.31
354-39-5160,34.42
241-72-9525,51.91
575-30-8091,72.5
731-81-9469,89.8
280-17-4359,90.5
338-65-2210,68.6
488-25-4221,30.41
239-10-7476,77.95
458-41-1477,46.26
685-64-1609,30.14
568-90-5112,66.14
262-47-2794,71.86
238-49-0436,32.46
608-96-3517,91.54
584-86-7256,34.56
746-94-0204,83.24
214-17-6927,16.48
400-89-4171,80.97
782-95-9291,92.29
279-74-2924,72.17
307-85-2293,50.28
743-04-1105,97.22
423-57-2993,93.39
894-41-5205,43.18
275-28-0149,63.69
101-17-6199,45.79
423-80-0988,76.4
548-46-9322,39.9
505-02-0892,42.57
234-65-2137,95.58
687-47-8271,98.98
796-32-9050,51.28
105-31-1824,69.52
249-42-3782,70.01
316-55-4634,80.05
733-33-4967,20.85
608-27-6295,52.89
414-12-7047,19.79
827-26-2100,33.84
175-54-2529,22.17
139-52-2867,22.51
407-63-8975,73.88
342-65-4817,86.8
130-98-8941,64.26
434-83-9547,38.47
851-28-6367,15.5
824-88-3614,34.31
586-25-0848,12.34
895-66-0685,18.08
305-14-0245,94.49
732-04-5373,46.47
400-60-7251,74.07
593-65-1552,69.81
284-34-9626,77.04
437-58-8131,73.52
286-43-6208,87.8
641-43-2399,25.55
831-07-6050,32.71
556-86-3144,74.29
848-24-9445,43.7
856-22-8149,25.29
699-01-4164,41.5
420-11-4919,71.39
606-80-4905,19.15
542-41-0513,57.49
426-39-2418,61.41
875-46-5808,25.9
394-43-4238,17.77
749-24-1565,23.03
672-51-8681,66.65
263-87-5680,28.53
573-58-9734,30.37
817-69-8206,99.73
888-02-0338,26.23
677-11-0152,93.26
142-63-6033,92.36
656-16-1063,46.42
891-58-8335,29.61
802-43-8934,18.28
560-30-5617,24.77
319-74-2561,94.64
549-03-9315,94.87
790-29-1172,57.34
239-36-3640,45.35
468-01-2051,62.08
389-25-3394,11.81
279-62-1445,12.54
213-72-6612,43.25
746-68-6593,87.16
836-82-5858,69.37
583-72-1480,37.06
466-61-5506,90.7
721-86-6247,63.42
289-65-5721,81.37
545-46-3100,10.59
418-02-5978,84.09
269-04-5750,73.82
157-13-5295,51.94
645-78-8093,93.14
211-30-9270,17.41
755-12-3214,44.22
346-84-3103,13.22
478-06-7835,89.69
540-11-4336,24.94
448-81-5016,59.77
142-72-4741,93.2
217-58-1179,62.65
376-02-8238,93.87
530-90-9855,47.59
866-05-7563,81.4
604-70-6476,17.94
799-71-1548,77.72
785-13-7708,73.06
845-51-0542,46.55
662-47-5456,35.19
883-17-4236,14.39
290-68-2984,23.75
704-11-6354,58.9
110-48-7033,32.62
366-93-0948,66.35
729-09-9681,25.91
151-16-1484,32.25
380-94-4661,65.94
850-41-9669,75.06
821-07-3596,16.45
655-85-5130,38.3
447-15-7839,22.24
154-74-7179,54.45
253-12-6086,98.4
808-65-0703,35.47
571-94-0759,74.6
144-51-6085,70.74
731-14-2199,35.54
783-09-1637,67.43
687-15-1097,21.12
126-54-1082,21.54
633-91-1052,12.03
477-24-6490,99.71
566-19-5475,47.97
526-86-8552,21.82
376-56-3573,95.42
537-72-0426,70.99
828-61-5674,44.02
136-08-6195,69.96
523-38-0215,37
490-29-1201,15.34
667-92-0055,99.83
