Invoice ID,Branch,City,,Customer type,Gender,Product line,,Quantity,,Date,,Time,,Payment,Rating
750-67-8428,A,Yangon,,Member,Female,Health and beauty,,7,,05-01-23,,13:08,,Ewallet,9.1
226-31-3081,C,Naypyitaw,,Normal,Female,Electronic accessories,,5,,08-03-23,,10:29,,Cash,9.6
631-41-3108,A,Yangon,,Normal,Male,Home and lifestyle,,7,,03-03-23,,13:23,,Credit card,7.4
123-19-1176,A,Yangon,,Member,Male,Health and beauty,,8,,27-01-23,,20:33,,Ewallet,8.4
,,,,,,,,,,,,,,,5.3
699-14-3026,C,Naypyitaw,,Normal,Male,Electronic accessories,,7,,25-03-23,,18:30,,Ewallet,4.1
355-53-5943,A,Yangon,,Member,Female,Electronic accessories,,6,,25-02-23,,14:36,,Ewallet,5.8
315-22-5665,C,Naypyitaw,,Normal,Female,Home and lifestyle,,10,,24-02-23,,11:38,,Ewallet,8
665-32-9167,A,Yangon,,Member,Female,Health and beauty,,2,,10-01-23,,17:15,,Credit card,7.2
692-92-5582,B,Mandalay,,Member,Female,Food and beverages,,3,,20-02-23,,13:27,,Credit card,5.9
351-62-0822,B,Mandalay,,Member,Female,Fashion accessories,,4,,06-02-23,,18:07,,Ewallet,4.5
529-56-3974,B,Mandalay,,Member,Male,Electronic accessories,,4,,09-03-23,,17:03,,Cash,6.8
365-64-0515,A,Yangon,,Normal,Female,Electronic accessories,,5,,12-02-23,,10:25,,Ewallet,7.1
252-56-2699,A,Yangon,,Normal,Male,Food and beverages,,10,,07-02-23,,16:48,,Ewallet,8.2
829-34-3910,A,Yangon,,Normal,Female,Health and beauty,,10,,29-03-23,,19:21,,Cash,5.7
299-46-1805,B,Mandalay,,Member,Female,Sports and travel,,6,,15-01-23,,16:19,,Cash,4.5
656-95-9349,A,Yangon,,Member,Female,Health and beauty,,7,,,,,,,
765-26-6951,A,Yangon,,Normal,Male,Sports and travel,,6,,01-01-23,,10:39,,Credit card,6.9
329-62-1586,A,Yangon,,Normal,Male,Food and beverages,,3,,21-01-23,,18:00,,Credit card,8.6
319-50-3348,B,Mandalay,,Normal,Female,Home and lifestyle,,2,,11-03-23,,15:30,,Ewallet,4.4
,,,,,,,,,,,,,,,
300-71-4605,C,Naypyitaw,,Member,Male,Electronic accessories,,5,,25-02-23,,11:24,,Ewallet,4.8
371-85-5789,B,Mandalay,,Normal,Male,Health and beauty,,3,,05-03-23,,10:40,,Ewallet,5.1
273-16-6619,B,Mandalay,,Normal,Male,Home and lifestyle,,2,,15-03-23,,12:20,,Credit card,4.4
636-48-8204,A,Yangon,,Normal,Male,Electronic accessories,,5,,17-02-23,,11:15,,Ewallet,9.9
549-59-1358,A,Yangon,,Member,Male,Sports and travel,,3,,02-03-23,,17:36,,Ewallet,6
227-03-5010,A,Yangon,,Member,Female,Home and lifestyle,,8,,22-03-23,,19:20,,Credit card,8.5
,,,,,,,,,,,,,,,
649-29-6775,B,Mandalay,,Normal,Male,Fashion accessories,,1,,08-02-23,,15:31,,Cash,6.7
189-17-4241,A,Yangon,,Normal,Female,Fashion accessories,,2,,10-03-23,,12:17,,Credit card,7.7
145-94-9061,B,Mandalay,,Normal,Female,Food and beverages,,5,,25-01-23,,19:48,,Cash,9.6
848-62-7243,A,Yangon,,Normal,Male,Health and beauty,,9,,15-03-23,,15:36,,Cash,7.4
,,,,,,,,,,,,,,,
871-79-8483,B,Mandalay,,Normal,Male,Fashion accessories,,5,,25-02-23,,19:39,,Credit card,4.8
149-71-6266,B,Mandalay,,Member,Male,Sports and travel,,9,,28-01-23,,12:43,,Cash,4.5
640-49-2076,B,Mandalay,,Normal,Male,Sports and travel,,8,,10-01-23,,14:49,,Cash,5.1
595-11-5460,A,Yangon,,Normal,Male,Health and beauty,,2,,15-03-23,,10:12,,Credit card,5.1
183-56-6882,C,Naypyitaw,,Member,Female,Food and beverages,,4,,06-02-23,,10:42,,Ewallet,7.5
232-16-2483,C,Naypyitaw,,Member,Female,Sports and travel,,1,,07-01-23,,12:28,,Ewallet,6.8
129-29-8530,A,Yangon,,Member,Male,Sports and travel,,5,,10-03-23,,19:15,,Ewallet,7
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
272-65-1806,A,Yangon,,Normal,Female,Electronic accessories,,9,,15-01-23,,17:17,,Ewallet,4.7
333-73-7901,C,Naypyitaw,,Normal,Female,Health and beauty,,8,,23-03-23,,13:24,,Ewallet,7.6
777-82-7220,B,Mandalay,,Member,Male,Home and lifestyle,,8,,03-03-23,,13:01,,Cash,7.7
280-35-5823,B,Mandalay,,Member,Female,Home and lifestyle,,1,,17-01-23,,18:45,,Ewallet,7.9
554-53-8700,C,Naypyitaw,,Member,Male,Home and lifestyle,,2,,02-02-23,,10:11,,Cash,6.3
354-25-5821,B,Mandalay,,Member,Female,Sports and travel,,6,,08-02-23,,13:03,,Cash,5.6
228-96-1411,C,Naypyitaw,,Member,Female,Food and beverages,,8,,04-03-23,,20:39,,Cash,7.6
617-15-4209,C,Naypyitaw,,Member,Male,Health and beauty,,2,,16-03-23,,19:47,,Cash,7.2
132-32-9879,B,Mandalay,,Member,Female,Electronic accessories,,4,,09-03-23,,18:00,,Cash,9.5
370-41-7321,B,Mandalay,,Member,Male,Health and beauty,,9,,27-02-23,,17:24,,Credit card,8.4
,,,,,,,,,,,,,,,
727-46-3608,B,Mandalay,,Member,Female,Food and beverages,,9,,06-02-23,,15:47,,Ewallet,4.1
669-54-1719,B,Mandalay,,Member,Male,Electronic accessories,,6,,10-02-23,,12:45,,Credit card,8.1
574-22-5561,C,Naypyitaw,,Member,Female,Fashion accessories,,10,,23-03-23,,17:08,,Ewallet,7.9
,,,,,,,,,,,,,,,
326-78-5178,C,Naypyitaw,,Member,Male,Food and beverages,,7,,03-02-23,,10:19,,Cash,9.5
162-48-8011,A,Yangon,,Member,Female,Food and beverages,,5,,10-02-23,,15:10,,Cash,8.5
616-24-2851,B,Mandalay,,Member,Female,Fashion accessories,,4,,22-03-23,,14:42,,Ewallet,6.5
778-71-5554,C,Naypyitaw,,Member,Male,Fashion accessories,,1,,25-01-23,,15:46,,Credit card,6.1
242-55-6721,B,Mandalay,,Normal,Male,Home and lifestyle,,2,,07-03-23,,11:49,,Ewallet,6.5
399-46-5918,C,Naypyitaw,,Normal,Female,Electronic accessories,,8,,28-02-23,,19:01,,Cash,8.2
106-35-6779,A,Yangon,,Member,Male,Home and lifestyle,,2,,27-03-23,,11:26,,Cash,5.8
635-40-6220,A,Yangon,,Normal,Male,Health and beauty,,8,,07-02-23,,11:28,,Ewallet,6.6
817-48-8732,A,Yangon,,Member,Female,Home and lifestyle,,10,,20-01-23,,15:55,,Cash,5.4
120-06-4233,C,Naypyitaw,,Normal,Male,Electronic accessories,,6,,12-03-23,,20:36,,Cash,9.3
285-68-5083,C,Naypyitaw,,Member,Female,Sports and travel,,3,,15-02-23,,17:47,,Credit card,10
803-83-5989,C,Naypyitaw,,Normal,Male,Home and lifestyle,,6,,24-02-23,,10:55,,Ewallet,7
347-34-2234,B,Mandalay,,Member,Female,Sports and travel,,9,,03-02-23,,13:40,,Ewallet,10
199-75-8169,A,Yangon,,Member,Male,Sports and travel,,10,,06-03-23,,12:27,,Credit card,8.6
,B,Mandalay,,Member,Male,Health and beauty,,4,,14-02-23,,14:35,,Cash,7.6
,A,Yangon,,Member,Male,Health and beauty,,10,,13-03-23,,16:40,,Cash,5.8
838-78-4295,C,Naypyitaw,,Normal,Female,Health and beauty,,2,,10-02-23,,15:43,,Ewallet,6.7
109-28-2512,B,Mandalay,,Member,Female,Fashion accessories,,6,,07-01-23,,15:01,,Ewallet,9.9
232-11-3025,A,Yangon,,Normal,Male,Sports and travel,,10,,24-01-23,,10:04,,Cash,6.4
382-03-4532,A,Yangon,,Member,Female,Health and beauty,,1,,02-02-23,,18:50,,Cash,4.3
393-65-2792,C,Naypyitaw,,Normal,Male,Food and beverages,,10,,06-01-23,,12:46,,Credit card,9.6
796-12-2025,C,Naypyitaw,,Normal,Male,Fashion accessories,,10,,11-02-23,,16:19,,Cash,5.9
510-95-6347,B,Mandalay,,Member,Female,Food and beverages,,3,,05-03-23,,18:17,,Ewallet,4
841-35-6630,C,Naypyitaw,,Normal,Female,Electronic accessories,,6,,09-03-23,,18:21,,Cash,8.7
287-21-9091,A,Yangon,,Normal,Male,Home and lifestyle,,9,,22-01-23,,10:55,,Ewallet,9.4
732-94-0499,C,Naypyitaw,,Normal,Female,Electronic accessories,,10,,13-01-23,,17:04,,Credit card,5.4
263-10-3913,C,Naypyitaw,,Member,Male,Fashion accessories,,9,,09-01-23,,14:20,,Credit card,8.6
381-20-0914,A,Yangon,,Member,Female,Fashion accessories,,9,,12-01-23,,15:48,,Credit card,5.7
829-49-1914,C,Naypyitaw,,Member,Female,Food and beverages,,10,,05-03-23,,16:24,,Ewallet,6.6
756-01-7507,C,Naypyitaw,,Normal,Female,Health and beauty,,5,,22-01-23,,18:56,,Cash,6
870-72-4431,C,Naypyitaw,,Normal,Female,Health and beauty,,6,,21-01-23,,14:42,,Credit card,5.5
847-38-7188,B,Mandalay,,Normal,Female,Food and beverages,,3,,26-01-23,,19:56,,Ewallet,6.4
480-63-2856,C,Naypyitaw,,Normal,Male,Food and beverages,,8,,23-01-23,,18:37,,Ewallet,6.6
787-56-0757,C,Naypyitaw,,Member,Female,Food and beverages,,4,,23-02-23,,18:45,,Credit card,8.3
360-39-5055,C,Naypyitaw,,Member,Male,Sports and travel,,5,,09-03-23,,10:17,,Cash,6.6
730-50-9884,C,Naypyitaw,,Normal,Female,Sports and travel,,7,,05-03-23,,14:31,,Ewallet,4
,,,,,,,,,,,,,,,
362-58-8315,C,Naypyitaw,,Normal,Male,Fashion accessories,,5,,25-03-23,,10:23,,Cash,9.9
633-44-8566,A,Yangon,,Member,Male,Food and beverages,,7,,27-03-23,,20:35,,Credit card,7.3
504-35-8843,A,Yangon,,Normal,Male,Sports and travel,,1,,02-01-23,,16:57,,Cash,5.7
318-68-5053,B,Mandalay,,Normal,Female,Health and beauty,,6,,27-02-23,,17:55,,Cash,6.1
565-80-5980,C,Naypyitaw,,Member,Female,Home and lifestyle,,4,,23-01-23,,10:25,,Cash,7.1
225-32-0908,C,Naypyitaw,,Normal,Female,Sports and travel,,10,,26-01-23,,19:54,,Ewallet,8.2
873-51-0671,A,Yangon,,Member,Female,Sports and travel,,7,,10-01-23,,16:42,,Ewallet,5.1
152-08-9985,B,Mandalay,,Member,Male,Health and beauty,,9,,12-03-23,,12:09,,Credit card,8.6
512-91-0811,C,Naypyitaw,,Normal,Male,Health and beauty,,1,,06-02-23,,20:05,,Credit card,6.6
594-34-4444,A,Yangon,,Normal,Male,Electronic accessories,,1,,08-03-23,,20:38,,Ewallet,7.2
766-85-7061,B,Mandalay,,Normal,Male,Health and beauty,,10,,29-03-23,,10:25,,Ewallet,5.1
871-39-9221,C,Naypyitaw,,Normal,Female,Electronic accessories,,6,,09-02-23,,13:11,,Cash,4.1
865-92-6136,A,Yangon,,Normal,Male,Food and beverages,,3,,23-03-23,,10:16,,Ewallet,9.3
733-01-9107,B,Mandalay,,Normal,Male,Home and lifestyle,,6,,05-03-23,,18:14,,Cash,7.4
163-56-7055,C,Naypyitaw,,Member,Male,Fashion accessories,,1,,26-03-23,,19:20,,Cash,4.1
189-98-2939,C,Naypyitaw,,Normal,Male,Fashion accessories,,9,,01-03-23,,13:22,,Cash,7.2
551-21-3069,C,Naypyitaw,,Normal,Female,Electronic accessories,,9,,01-02-23,,11:27,,Cash,4.9
212-62-1842,A,Yangon,,Normal,Male,Food and beverages,,6,,28-03-23,,16:44,,Cash,9.9
716-39-1409,B,Mandalay,,Normal,Male,Health and beauty,,7,,23-03-23,,18:19,,Cash,8
704-48-3927,A,Yangon,,Member,Male,Electronic accessories,,10,,12-01-23,,14:50,,Ewallet,7.3
628-34-3388,C,Naypyitaw,,Normal,Male,Fashion accessories,,6,,05-01-23,,20:54,,Credit card,7.9
630-74-5166,A,Yangon,,Normal,Male,Sports and travel,,6,,22-03-23,,20:19,,Cash,7.4
588-01-7461,C,Naypyitaw,,Normal,Female,Food and beverages,,9,,24-03-23,,10:43,,Cash,4.2
861-77-0145,C,Naypyitaw,,Member,Male,Electronic accessories,,10,,03-03-23,,14:30,,Cash,9.2
479-26-8945,B,Mandalay,,Member,Female,Sports and travel,,2,,05-02-23,,11:32,,Ewallet,4.6
210-67-5886,C,Naypyitaw,,Member,Female,Health and beauty,,3,,05-02-23,,10:41,,Credit card,7.8
227-78-1148,B,Mandalay,,Normal,Female,Fashion accessories,,7,,15-02-23,,12:44,,Cash,8.4
645-44-1170,A,Yangon,,Member,Male,Home and lifestyle,,9,,23-01-23,,20:07,,Ewallet,4.3
237-01-6122,C,Naypyitaw,,Member,Female,Home and lifestyle,,9,,01-02-23,,20:31,,Credit card,9.5
225-98-1496,C,Naypyitaw,,Normal,Female,Fashion accessories,,3,,02-03-23,,13:01,,Credit card,7.1
